User	Text	Date	Retweet Count	Reply To
DougalCMK	Fianna Failer calling Gov out on money going to Mayo &amp; they got less. Pot/kettle, just like when FF were in power&amp; Healy Rae milked it #vinb	2015-06-24 22:36:00	0	None
ArAghaidh	VHI offer second to none healthcare, none being what HSE offers #vinb	2015-06-24 22:35:42	0	None
Jim_Sheridan	A little pic to sum up tonight's #Vinb from Kerry :) http://t.co/1yRsrNk3q4	2015-06-24 22:35:39	13	None
SaorAgusGaelach	They just turn over and snooze.  It's easy if you're arrogant &amp; FG/Lab are very arrogant. #no2iw #vinb   https://t.co/dFXRUcv4j1	2015-06-24 22:35:25	1	None
eoinneylon	Fair play to @niallkelleher calling out the fact that @fiannafailparty are the only party to have learned from mistakes of the past. #VinB	2015-06-24 22:35:23	0	None
nomorequangos	@lauraisainmdom Yes. You should ask #vinb to give you a placement as a roadie!	2015-06-24 22:35:20	0	lauraisainmdom
Ballymunsaysno	#PeoplesDebate #vinb Every1 that #Protest against #WaterChargesor #government Cuts areFreeloaders Says @desmondotoole http://t.co/rhnjAQyi6Z	2015-06-24 22:35:17	2	None
Anthony_Lawless	This FFr has a short memory. John O'Donoghue siphoned millions from Lottery funds in Kerry's direction when he was minister for fun. #vinb	2015-06-24 22:35:07	2	None
conwaywalsh	OMG I can't listen to that FF guy talk about home help hours when they themselves cut hundreds of thousands Home Help hours 2009/10 #vinb	2015-06-24 22:35:04	12	None
kevosullivan07	You'd swear theres 2 books for politicians.The one for government and one for opposition.Depends on the result as to what one you read #vinb	2015-06-24 22:35:03	0	None
maryjenki	#vinb  #BallyheaSaysNo  Doing what we elected our Government to do in 2011 https://t.co/Sg4JChfOu3	2015-06-24 22:35:01	2	None
mairinber	“@lolorachelwebb: #vinb needs subtitles tonight #Kerry #youwaaaaaaa” why do you need subtitles?????	2015-06-24 22:34:57	0	lolorachelwebb
SUSANDUBLIN	How much longer can we take the pain in this country? #PeoplesDebate #vinb	2015-06-24 22:34:55	0	None
RayMcGrath	Love listening to FF/FG members pretending that their parties are wildly different. #vinb #PeoplesDebate	2015-06-24 22:34:42	4	None
nmaher36	#vinb The Rae boyos http://t.co/drOKAdSkBa	2015-06-24 22:34:39	1	None
mrbobdaly	Let the audience know the facts   #vinb  https://t.co/DFgQZM8kCf	2015-06-24 22:34:36	0	None
gercollins17	Fiannafail giving out about fg/lab cuts which were ff policy in the first place what a joke #vinb	2015-06-24 22:34:26	1	None
Evanis	Still awaiting the battle that occurred between #vinb &amp; Sinn Féin TD Martin Ferris...	2015-06-24 22:34:10	0	None
ReclaimTheVoice	With all these #PeoplesDebate  's   @fiannafail are punching like a sleepy kitten in a wet paper bag..  #vinb	2015-06-24 22:34:02	1	None
